
# Curve 0 of 1, 1020 points
# Curve title: "1/(x**2)"
# x y type
0.0000000e+00 0.0000000e+00  u
2.9440628e-03 1.1537344e+05  i
5.8881256e-03 2.8843361e+04  i
8.8321884e-03 1.2819272e+04  i
1.1776251e-02 7.2108403e+03  i
1.4720314e-02 4.6149378e+03  i
1.7664377e-02 3.2048179e+03  i
2.0608440e-02 2.3545601e+03  i
2.3552502e-02 1.8027101e+03  i
2.6496565e-02 1.4243635e+03  i
2.9440628e-02 1.1537344e+03  i
3.2384691e-02 9.5349954e+02  i
3.5328754e-02 8.0120448e+02  i
3.8272816e-02 6.8268310e+02  i
4.1216879e-02 5.8864002e+02  i
4.4160942e-02 5.1277086e+02  i
4.7105005e-02 4.5067752e+02  i
5.0049068e-02 3.9921607e+02  i
5.2993131e-02 3.5609088e+02  i
5.5937193e-02 3.1959403e+02  i
5.8881256e-02 2.8843361e+02  i
6.1825319e-02 2.6161779e+02  i
6.4769382e-02 2.3837489e+02  i
6.7713445e-02 2.1809725e+02  i
7.0657507e-02 2.0030112e+02  i
7.3601570e-02 1.8459751e+02  i
7.6545633e-02 1.7067078e+02  i
7.9489696e-02 1.5826261e+02  i
8.2433759e-02 1.4716001e+02  i
8.5377821e-02 1.3718602e+02  i
8.8321884e-02 1.2819272e+02  i
9.1265947e-02 1.2005561e+02  i
9.4210010e-02 1.1266938e+02  i
9.7154073e-02 1.0594439e+02  i
1.0009814e-01 9.9804018e+01  i
1.0304220e-01 9.4182404e+01  i
1.0598626e-01 8.9022719e+01  i
1.0893032e-01 8.4275708e+01  i
1.1187439e-01 7.9898507e+01  i
1.1481845e-01 7.5853678e+01  i
1.1776251e-01 7.2108403e+01  i
1.2070658e-01 6.8633816e+01  i
1.2365064e-01 6.5404447e+01  i
1.2659470e-01 6.2397753e+01  i
1.2953876e-01 5.9593721e+01  i
1.3248283e-01 5.6974540e+01  i
1.3542689e-01 5.4524312e+01  i
1.3837095e-01 5.2228811e+01  i
1.4131501e-01 5.0075280e+01  i
1.4425908e-01 4.8052247e+01  i
1.4720314e-01 4.6149378e+01  i
1.5014720e-01 4.4357341e+01  i
1.5309127e-01 4.2667694e+01  i
1.5603533e-01 4.1072782e+01  i
1.5897939e-01 3.9565653e+01  i
1.6192345e-01 3.8139982e+01  i
1.6486752e-01 3.6790001e+01  i
1.6781158e-01 3.5510448e+01  i
1.7075564e-01 3.4296505e+01  i
1.7369971e-01 3.3143765e+01  i
1.7664377e-01 3.2048179e+01  i
1.7958783e-01 3.1006032e+01  i
1.8253189e-01 3.0013903e+01  i
1.8547596e-01 2.9068643e+01  i
1.8842002e-01 2.8167345e+01  i
1.9136408e-01 2.7307324e+01  i
1.9430815e-01 2.6486098e+01  i
1.9725221e-01 2.5701369e+01  i
2.0019627e-01 2.4951004e+01  i
2.0314033e-01 2.4233028e+01  i
2.0608440e-01 2.3545601e+01  i
2.0902846e-01 2.2887015e+01  i
2.1197252e-01 2.2255680e+01  i
2.1491658e-01 2.1650112e+01  i
2.1786065e-01 2.1068927e+01  i
2.2080471e-01 2.0510835e+01  i
2.2374877e-01 1.9974627e+01  i
2.2669284e-01 1.9459174e+01  i
2.2963690e-01 1.8963420e+01  i
2.3258096e-01 1.8486371e+01  i
2.3552502e-01 1.8027101e+01  i
2.3846909e-01 1.7584735e+01  i
2.4141315e-01 1.7158454e+01  i
2.4435721e-01 1.6747488e+01  i
2.4730128e-01 1.6351112e+01  i
2.5024534e-01 1.5968643e+01  i
2.5318940e-01 1.5599438e+01  i
2.5613346e-01 1.5242891e+01  i
2.5907753e-01 1.4898430e+01  i
2.6202159e-01 1.4565515e+01  i
2.6496565e-01 1.4243635e+01  i
2.6790972e-01 1.3932308e+01  i
2.7085378e-01 1.3631078e+01  i
2.7379784e-01 1.3339513e+01  i
2.7674190e-01 1.3057203e+01  i
2.7968597e-01 1.2783761e+01  i
2.8263003e-01 1.2518820e+01  i
