n N nE n1 p t
10.000000 599.000000 100.000000 0.000000 0.166945 0.031981
60.000000 1091.000000 100.000000 0.000000 0.091659 0.042867
110.000000 2670.000000 100.000000 0.000000 0.037453 0.034604
160.000000 6510.000000 100.000000 0.000000 0.015361 0.131796
210.000000 16237.000000 100.000000 0.000000 0.006159 0.354681
260.000000 47427.000000 100.000000 0.000000 0.002109 1.229940
310.000000 101143.000000 100.000000 0.000000 0.000989 3.060535
360.000000 228298.000000 100.000000 0.000000 0.000438 7.832538
410.000000 579567.000000 100.000000 0.000000 0.000173 22.097176
460.000000 1368165.000000 100.000000 0.000000 0.000073 55.339945
510.000000 2516915.000000 100.000000 0.000000 0.000040 111.004214
560.000000 7465416.000000 100.000000 0.000000 0.000013 357.613392
610.000000 16396124.000000 100.000000 0.000000 0.000006 844.419795
660.000000 35757179.000000 100.000000 0.000000 0.000003 1973.255668
710.000000 93764465.000000 100.000000 0.000000 0.000001 5496.557268
760.000000 178081773.000000 100.000000 0.000000 0.000001 11066.465247
810.000000 376515351.000000 100.000000 0.000000 0.000000 24785.228912
