"time";"r Pr1.Vt";"i Pr1.Vt"
0;0.0199996;0
1e-06;0.0219729;0
2e-06;0.0238994;0
3e-06;0.0257783;0
4e-06;0.0276109;0
5e-06;0.0293982;0
6e-06;0.0311414;0
7e-06;0.0328415;0
8e-06;0.0344997;0
9e-06;0.0361169;0
1e-05;0.0376942;0
1.1e-05;0.0392325;0
1.2e-05;0.0407329;0
1.3e-05;0.0421962;0
1.4e-05;0.0436234;0
1.5e-05;0.0450154;0
1.6e-05;0.0463729;0
1.7e-05;0.047697;0
1.8e-05;0.0489884;0
1.9e-05;0.0502479;0
2e-05;0.0514763;0
2.1e-05;0.0526743;0
2.2e-05;0.0538428;0
2.3e-05;0.0549824;0
2.4e-05;0.0560939;0
2.5e-05;0.057178;0
2.6e-05;0.0582353;0
2.7e-05;0.0592665;0
2.8e-05;0.0602722;0
2.9e-05;0.0612531;0
3e-05;0.0622098;0
3.1e-05;0.0631428;0
3.2e-05;0.0640528;0
3.3e-05;0.0649404;0
3.4e-05;0.065806;0
3.5e-05;0.0666503;0
3.6e-05;0.0674737;0
3.7e-05;0.0682768;0
3.8e-05;0.06906;0
3.9e-05;0.0698239;0
4e-05;0.070569;0
4.1e-05;0.0712956;0
4.2e-05;0.0720044;0
4.3e-05;0.0726956;0
4.4e-05;0.0733697;0
4.5e-05;0.0740272;0
4.6e-05;0.0746685;0
4.7e-05;0.075294;0
4.8e-05;0.075904;0
4.9e-05;0.0764989;0
5e-05;0.0770791;0
5.1e-05;0.0776451;0
5.2e-05;0.078197;0
5.3e-05;0.0787353;0
5.4e-05;0.0792604;0
5.5e-05;0.0797724;0
5.6e-05;0.0802719;0
5.7e-05;0.0807589;0
5.8e-05;0.081234;0
5.9e-05;0.0816974;0
6e-05;0.0821493;0
6.1e-05;0.08259;0
6.2e-05;0.0830198;0
6.3e-05;0.0834391;0
6.4e-05;0.083848;0
6.5e-05;0.0842468;0
6.6e-05;0.0846357;0
6.7e-05;0.0850151;0
6.8e-05;0.0853851;0
6.9e-05;0.0857459;0
7e-05;0.0860978;0
7.1e-05;0.0864411;0
7.2e-05;0.0867759;0
7.3e-05;0.0871024;0
7.4e-05;0.0874208;0
7.5e-05;0.0877314;0
7.6e-05;0.0880343;0
7.7e-05;0.0883298;0
7.8e-05;0.0886179;0
7.9e-05;0.0888989;0
8e-05;0.089173;0
8.1e-05;0.0894403;0
8.2e-05;0.0897011;0
8.3e-05;0.0899553;0
8.4e-05;0.0902033;0
8.5e-05;0.0904452;0
8.6e-05;0.0906811;0
8.7e-05;0.0909112;0
8.8e-05;0.0911356;0
8.9e-05;0.0913545;0
9e-05;0.091568;0
9.1e-05;0.0917761;0
9.2e-05;0.0919792;0
9.3e-05;0.0921772;0
9.4e-05;0.0923704;0
9.5e-05;0.0925587;0
9.6e-05;0.0927425;0
9.7e-05;0.0929217;0
9.8e-05;0.0930964;0
9.9e-05;0.0932669;0
0.0001;0.0934331;0
0.000101;0.090356;0
0.000102;0.0866437;0
0.000103;0.083023;0
0.000104;0.0794918;0
0.000105;0.0760477;0
0.000106;0.0726886;0
0.000107;0.0694125;0
0.000108;0.0662173;0
0.000109;0.063101;0
0.00011;0.0600616;0
0.000111;0.0570972;0
0.000112;0.0542061;0
0.000113;0.0513863;0
0.000114;0.0486361;0
0.000115;0.0459539;0
0.000116;0.0433379;0
0.000117;0.0407864;0
0.000118;0.038298;0
0.000119;0.035871;0
0.00012;0.0335039;0
0.000121;0.0311953;0
0.000122;0.0289436;0
0.000123;0.0267476;0
0.000124;0.0246058;0
0.000125;0.0225168;0
0.000126;0.0204795;0
0.000127;0.0184924;0
0.000128;0.0165544;0
0.000129;0.0146643;0
0.00013;0.0128208;0
0.000131;0.0110228;0
0.000132;0.00926928;0
0.000133;0.007559;0
0.000134;0.00589096;0
0.000135;0.00426409;0
0.000136;0.0026774;0
0.000137;0.00112988;0
0.000138;-0.000379432;0
0.000139;-0.00185148;0
0.00014;-0.00328718;0
0.000141;-0.00468743;0
0.000142;-0.00605311;0
0.000143;-0.00738507;0
0.000144;-0.00868415;0
0.000145;-0.00995115;0
0.000146;-0.0111869;0
0.000147;-0.0123921;0
0.000148;-0.0135675;0
0.000149;-0.014714;0
0.00015;-0.0158321;0
0.000151;-0.0169226;0
0.000152;-0.0179862;0
0.000153;-0.0190235;0
0.000154;-0.0200352;0
0.000155;-0.021022;0
0.000156;-0.0219843;0
0.000157;-0.022923;0
0.000158;-0.0238384;0
0.000159;-0.0247312;0
0.00016;-0.025602;0
0.000161;-0.0264513;0
0.000162;-0.0272797;0
0.000163;-0.0280875;0
0.000164;-0.0288755;0
0.000165;-0.0296439;0
0.000166;-0.0303934;0
0.000167;-0.0311244;0
0.000168;-0.0318374;0
0.000169;-0.0325327;0
0.00017;-0.0332109;0
0.000171;-0.0338723;0
0.000172;-0.0345174;0
0.000173;-0.0351466;0
0.000174;-0.0357602;0
0.000175;-0.0363587;0
0.000176;-0.0369424;0
0.000177;-0.0375117;0
0.000178;-0.0380669;0
0.000179;-0.0386085;0
0.00018;-0.0391366;0
0.000181;-0.0396518;0
0.000182;-0.0401542;0
0.000183;-0.0406442;0
0.000184;-0.0411221;0
0.000185;-0.0415882;0
0.000186;-0.0420428;0
0.000187;-0.0424861;0
0.000188;-0.0429185;0
0.000189;-0.0433403;0
0.00019;-0.0437516;0
0.000191;-0.0441528;0
0.000192;-0.0445441;0
0.000193;-0.0449257;0
0.000194;-0.0452979;0
0.000195;-0.0456609;0
0.000196;-0.0460149;0
0.000197;-0.0463602;0
0.000198;-0.046697;0
0.000199;-0.0470254;0
0.0002;-0.0473458;0
0.000201;-0.0440722;0
0.000202;-0.040515;0
0.000203;-0.0370456;0
0.000204;-0.033662;0
0.000205;-0.0303618;0
0.000206;-0.0271431;0
0.000207;-0.024004;0
0.000208;-0.0209423;0
0.000209;-0.0179562;0
0.00021;-0.0150438;0
0.000211;-0.0122034;0
0.000212;-0.00943303;0
0.000213;-0.0067311;0
0.000214;-0.00409588;0
0.000215;-0.00152573;0
0.000216;0.00098096;0
0.000217;0.00342576;0
0.000218;0.0058102;0
0.000219;0.00813577;0
0.00022;0.0104039;0
0.000221;0.0126161;0
0.000222;0.0147736;0
0.000223;0.0168779;0
0.000224;0.0189302;0
0.000225;0.0209318;0
0.000226;0.022884;0
0.000227;0.024788;0
0.000228;0.026645;0
0.000229;0.0284562;0
0.00023;0.0302226;0
0.000231;0.0319454;0
0.000232;0.0336257;0
